一级阶段,二级环节,三级细分项,单点式提问,场景化提问（Agent 对话场景）,触发场景与原因,是否提供科研数据
,,-,审稿人意见不对，能不能反驳？怎么说比较委婉？,审稿人意见明显不对，我能不能反驳？怎么说比较委婉不得罪人？,认为审稿人对研究有误解或意见不合理，医生想反驳但怕得罪审稿人导致拒稿。,是（已收到审稿意见）
,,-,审稿人让我引用他的论文，我必须引吗？,审稿人让我引用他的好几篇论文，我必须引吗？不引会不会被拒？,遇到审稿人要求自引，医生觉得不合理，但又怕不照做被拒稿，纠结如何应对。,是（已收到审稿意见）
,,-,返修截止日期赶不上，能不能申请延期？,返修截止日期赶不上，能不能申请延期？怎么说比较好？,返修工作量大，或临床工作忙赶不上截止日期，医生想申请延期又怕给编辑留坏印象。,是（已收到返修通知）
,接收 / 修改 / 拒稿,-,被拒稿了要不要申诉？成功率高吗？,被拒稿了，我觉得理由不成立，要不要申诉？成功率高吗？,认为拒稿理由不成立，医生想申诉，但担心成功率低、浪费时间。,是（已收到拒稿通知）
,,-,修回之后还会再送外审吗？,大修修回去之后，还会再送外审吗？,想知道返修后的流程，预判录用时间，匹配职称评审截止日期。,是（已提交返修稿）
,,-,拒稿后是改改重投同杂志，还是直接换期刊？,被拒稿了，是修改一下重投同一家，还是直接换别的期刊？,被目标期刊拒稿，医生纠结是修改后再试，还是直接转投其他，节省时间。,是（已收到拒稿通知）
,,-,投稿后多久没消息可以催稿？怎么催比较合适？,投稿两个月了还没消息，正常吗？多久可以催稿？怎么催不惹编辑反感？,审稿时间远超期刊平均周期，赶职称截止，医生着急想知道进度，又怕催稿惹编辑反感。,是（已投稿）
,,-,一稿多投的边界是什么？同时投两家算违规吗？,时间太赶了，我同时投两家期刊算不算一稿多投？违规吗？,时间紧迫，医生想多投加快进程，但不清楚一稿多投的界定和后果，抱有侥幸心理。,否（学术规范咨询）
,,-,编辑让转投旗下开源期刊，要不要同意？,被主刊拒了，编辑让转投旗下开源期刊，要不要同意？认可度怎么样？,被主刊拒稿，编辑推荐转投子刊 / OA 刊，医生纠结认可度、版面费和录用概率。,是（已收到转投建议）
接收后流程 (Post-Acceptance),签署版权协议,-,签了版权协议，我自己还能用这篇文章吗？,签了版权协议，我自己做汇报用这篇文章算不算侵权？,医生后续做汇报、申报奖项需要用到自己的论文，担心侵权。,是（已收到录用通知）
,,-,开源期刊和非开源期刊，版权有什么区别？,OA 期刊和非 OA 期刊，版权上有什么区别？,在 OA 和非 OA 期刊间选择，想了解版权和传播性的差异。,否（期刊知识咨询）
,支付版面费,-,版面费能不能报销？发票开什么类目？,版面费可以用科研经费报销吗？发票一般开什么类目？,医生需要用科研经费报销版面费，不确定开票类目是否符合单位财务要求。,是（已收到缴费通知）
,,-,有没有办法申请版面费减免？,版面费太贵了，能不能申请减免？怎么申请？,版面费较高，或没有科研经费支持，医生想申请减免降低成本。,是（已收到缴费通知）
,,-,不交版面费会不会影响见刊？,不按时交版面费会不会被撤稿？影响见刊？,医生担心缴费不及时导致撤稿，错过评审时间。,是（已收到缴费通知）
,校对清样,-,清样校对的时候还能改数据吗？发现小错误怎么办？,校样的时候发现一个小错误，还能改数据吗？,校样时发现小错误，不知道能不能修改，怕改了算学术不端，不改又担心影响文章质量。,是（已收到校样）
,,-,作者顺序、单位信息还能改吗？,接收了还能改作者顺序或者单位信息吗？,接收后单位变动或作者贡献有调整，想修改信息又怕流程麻烦或不被允许。,是（已收到录用通知）
,Online First → 正式出版,-,Online First 算不算正式发表？能不能用来评职称？,Online First 算正式发表吗？评职称能用来凑数吗？,职称评审截止前还没见刊，只有在线优先出版，医生不确定单位是否认可。,是（已在线发表）
,,-,正式见刊后多久能被知网 / 万方 / PubMed 检索？,见刊后多久能被知网检索到？我等着要检索证明评职称。,评审需要检索证明，医生预判时间，担心赶不上截止日期。,是（已见刊）
,,-,检索不到怎么办？能不能催编辑部？,见刊三个月了还没被检索，怎么办？能催编辑部吗？,见刊后很久没被检索，赶评审截止，医生着急想加快收录。,是（已见刊未检索）
,,-,检索证明去哪里开？需要什么材料？,检索证明去哪里开？需要带什么材料？单位认的那种。,职称评审要求提交官方检索证明，医生不知道办理渠道和流程。,否（办事流程咨询）
,,-,见刊后发现数据有错误，会不会被撤稿？,见刊后发现数据有个小错误，会不会被撤稿？有什么影响？,发表后发现数据或结论有误，医生担心被追责、撤稿，影响学术声誉。,是（已发表论文）
,,-,这篇论文可以用来申报科技成果奖吗？,这篇论文可以用来报科技成果奖吗？还需要什么材料？,医生想拿论文申报奖项，不确定是否符合成果申报的要求。,是（已发表论文）
跨阶段通用问题,全周期通用,时效与加急,能不能加急？最快多久能搞定？多花钱也行。,我赶职称截止，能不能全程加急？多花点钱也行，最快多久？,用户有明确的时间截止压力，希望通过加急压缩周期，确保赶上评审。,否（服务咨询）
,,成功率与信任,你们做过同方向的案例吗？成功率大概多少？,你们做过普外科同方向的吗？成功率大概多少？,用户对服务能力存疑，希望通过过往案例和成功率建立信任，降低决策风险。,否（服务咨询）
,,保密与合规,我的数据、个人信息会不会泄露？,我的病例数据和个人信息你们会保密吗？会不会泄露？,临床数据涉及患者隐私和单位信息，医生非常看重数据安全与保密。,否（服务咨询）
,,保密与合规,你们的协助算不算学术不端？会不会影响我评职称？,找你们协助写作润色，算不算学术不端？会不会影响我评职称？,医生担心服务触碰学术红线，影响自身职业发展，对合规边界非常敏感。,否（服务咨询）
,,费用与服务,全程服务怎么收费？分几步？包含几次修改？,全程服务怎么收费？分几次付？包含几次修改？,用户决策阶段关注服务内容、收费模式和售后保障，对比多家机构。,否（服务咨询）
,,进度与规划,从现在到见刊，每个阶段大概要花多久？,从现在开始做到见刊，每个阶段大概要多久？帮我排个时间。,医生需要整体时间规划，匹配自己的职称评审节点，把控整体进度。,否（规划咨询）
